Match_Number,Match_Date,Venue,City,Team1,Team2,Toss_Winner,Toss_Decision,Team1_Runs,Team1_Wickets,Team1_RunRate,Target,Required_RunRate,Team2_Runs,Team2_Wickets,Team2_RunRate,DLS_Method,Tied_or_NoResult,Super_Over,Winner,WinningMargin_Runs,WinningMargin_Wickets,WinningMargin_BallsToSpare,Player_of_the_Match,Umpire1,Umpire2,Reserve_Umpire,Match_Referee,TV_Umpire,Tournament_Phase,Match_Type,Match_Timings
41,19-06-2024,Sir Vivian Richards Stadium,North Sound,South Africa,United States of America,United States of America,Field,194,4,9.7,195,9.75,176,6,8.8,No,No,No,South Africa,18,,,Quinton de Kock,Chris Gaffaney,Richard Kettleborough,Langton Rusere,Ranjan Madugalle,Joel Wilson,Super8,Round-Robin,Day
42,19-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,West Indies,England,England,Field,180,4,9,181,9.05,181,2,10.34,No,No,No,England,,8,15,Phil Salt,Ahsan Raza,Nitin Menon,Chris Brown,Jeff Crowe,Sharfuddoula,Super8,Round-Robin,Night
43,20-06-2024,Kensington Oval,Bridgetown,India,Afghanistan,India,Bat,181,8,9.05,182,9.1,134,10,6.7,No,No,No,India,47,,,Suryakumar Yadav,Paul Reiffel,Rod Tucker,Alex Wharf,David Boon,Allahuddien Palekar,Super8,Round-Robin,Day
44,20-06-2024,Sir Vivian Richards Stadium,North Sound,Bangladesh,Australia,Australia,Field,140,8,7,73,6.44,100,2,8.82,Yes,No,No,Australia,28,,,Pat Cummins,Michael Gough,Richard Illingworth,Adrian Holdstock,Richie Richardson,Kumar Dharmasena,Super8,Round-Robin,Night
45,21-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,South Africa,England,England,Field,163,6,8.15,164,8.2,156,6,7.8,No,No,No,South Africa,7,,,Quinton de Kock,Chris Brown,Sharfuddoula,Chris Gaffaney,Jeff Crowe,Joel Wilson,Super8,Round-Robin,Day
46,21-06-2024,Kensington Oval,Bridgetown,United States of America,West Indies,West Indies,Field,128,10,6.45,129,6.45,130,1,12,No,No,No,West Indies,,9,55,Roston Chase,Allahuddien Paleker,Paul Reiffel,Alex Wharf,David Boon,Rod Tucker,Super8,Round-Robin,Night
47,22-06-2024,Sir Vivian Richards Stadium,North Sound,India,Bangladesh,Bangladesh,Field,196,5,9.8,197,9.85,146,8,7.3,No,No,No,India,50,,,Hardik Pandya,Adrian Holdstock,Michael Gough,Richard Kettleborough,Ranjan Madugalle,Langton Rusere,Super8,Round-Robin,Day
48,22-06-2024,Arnos Vale Ground,Kingstown,Afghanistan,Australia,Australia,Field,148,6,7.4,149,7.45,127,10,6.56,No,No,No,Afghanistan,21,,,Gulbadin Naib,Ahsan Raza,Kumar Dharmasena,Nitin Menon,Jeff Crowe,Richard Illingworth,Super8,Round-Robin,Night
49,23-06-2024,Kensington Oval,Bridgetown,United States of America,England,England,Field,115,10,6.1,116,5.8,117,0,12.1,No,No,No,England,,10,62,Adil Rashid,Chris Gaffaney,Joel Wilson,Allahuddien Paleker,David Boon,Paul Reiffel,Super8,Round-Robin,Day
50,23-06-2024,Sir Vivian Richards Stadium,North Sound,West Indies,South Africa,South Africa,Field,135,8,6.75,123,7.24,124,7,7.67,Yes,No,No,South Africa,,3,5,Tabraiz Shamsi,Alex Wharf,Rod Tucker,Sharfuddoula,Ranjan Madugalle,,Super8,Round-Robin,Night
51,24-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,India,Australia,Australia,Field,205,5,10.25,206,10.3,181,7,9.05,No,No,No,India,24,,,Rohit Sharma,Richard Illingworth,Richard Kettleborough,Kumar Dharmasena,Jeff Crowe,Michael Gough,Super8,Round-Robin,Day
52,24-06-2024,Arnos Vale Ground,Kingstown,Afghanistan,Bangladesh,Afghanistan,Bat,115,5,5.75,114,6,105,10,5.88,Yes,No,No,Afghanistan,8,,,Naveen-ul-Haq,Langton Rusere,Nitin Menon,Ahsan Raza,Richie Richardson,Adrian Holdstock,Super8,Round-Robin,Night
53,26-06-2024,Brian Lara Stadium,Tarouba,Afghanistan,South Africa,Afghanistan,Bat,56,10,4.73,57,2.85,60,1,8.5,No,No,No,South Africa,,9,67,Marco Jansen,Nitin Menon,Richard Illingworth,Ahsan Raza,Richie Richardson,Richard Kettleborough,Semi Final,Knockout,Night
54,27-06-2024,Providence Stadium,Providence,India,England,England,Field,171,7,8.55,172,8.6,103,10,6.18,No,No,No,India,68,,,Axar Patel,Chris Gaffaney,Rod Tucker,Paul Reiffel,Jeff Crowe,Joel Wilson,Semi Final,Knockout,Day
55,29-06-2024,Kensington Oval,Bridgetown,India,South Africa,India,Bat,176,7,8.8,177,8.85,169,8,8.45,No,No,No,India,7,,,Virat Kohli,Chris Gaffaney,Richard Illingworth,Rod Tucker,Richie Richardson,Richard Kettleborough,Final,Knockout,Day
